filename,class_label,extension
acne scar 1.jpg,acne scar\Mild acne scar,.jpg
acne scar 2.jpg,acne scar\Mild acne scar,.jpg
scar1_0_1011.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1014.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1040.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1043.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1044.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1059.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1061.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1072.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1076.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1097.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1100.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1102.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1127.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1136.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1142.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1150.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1167.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1185.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1203.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1204.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1212.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1215.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1243.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1244.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1251.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_131.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1315.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1321.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1324.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1347.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_137.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1389.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1396.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_142.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_1477.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_149.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_187.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_198.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_2.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_205.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_24.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_267.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_275.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_285.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_293.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_310.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_325.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_389.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_442.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_47.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_483.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_484.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_491.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_523.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_588.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_623.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_647.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_65.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_683.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_796.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_808.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_821.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_864.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_87.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_873.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_880.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_887.jpeg,acne scar\Mild acne scar,.jpeg
scar1_0_918.jpeg,acne scar\Mild acne scar,.jpeg
