filename,class_label,extension
acne-comedones-57-v2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE3XQ_JPG_jpg.rf.ca55319da31a10d2496dcb86f101cd25.jpg,acne-blackheads,.jpg
blackhead-10-_JPG_jpg.rf.187e1786edc918fc023839e2ea14a18f.jpg,acne-blackheads,.jpg
blackhead-10-_JPG_jpg.rf.4d09029c16c5c229a5f60949f8072774.jpg,acne-blackheads,.jpg
blackhead-10-_JPG_jpg.rf.58485195c8c718f9658cf050348dac63.jpg,acne-blackheads,.jpg
blackhead-10-_JPG_jpg.rf.737305e74d48ebc978cbc0a027310093.jpg,acne-blackheads,.jpg
blackhead-10-_JPG_jpg.rf.8aeac37509f639709d9572e35b3c2e4b.jpg,acne-blackheads,.jpg
blackhead-11-_JPG_jpg.rf.1aa1bf3c2f3f9f65fc6fa42ca175ad60.jpg,acne-blackheads,.jpg
blackhead-11-_JPG_jpg.rf.79a32709ebaca5a3de1b69f7089b42c6.jpg,acne-blackheads,.jpg
blackhead-12-_jpg.rf.08011d5eda707d24c2005720368af508.jpg,acne-blackheads,.jpg
blackhead-12-_jpg.rf.0bf7c882e783434a0538b2a07b6babc4.jpg,acne-blackheads,.jpg
blackhead-12-_jpg.rf.1ce1ce2cfe6b3785202e5ec636080368.jpg,acne-blackheads,.jpg
blackhead-12-_jpg.rf.259bab820e69d49c32fe3f5e300934a5.jpg,acne-blackheads,.jpg
blackhead-12-_jpg.rf.2b9887aa64c0b8c4bab2f9ffac00060a.jpg,acne-blackheads,.jpg
blackhead-12-_jpg.rf.3b307a808c7687c7e9c0286c54701458.jpg,acne-blackheads,.jpg
blackhead-12-_jpg.rf.551ace602db1b76ba4c5fbfa715c042f.jpg,acne-blackheads,.jpg
blackhead-12-_jpg.rf.57a5d30248b15e738476fcc9cfcf73e8.jpg,acne-blackheads,.jpg
blackhead-12-_jpg.rf.e9aa820f986cb12eed1151b20ae5c8e7.jpg,acne-blackheads,.jpg
blackhead-12-_jpg.rf.fb9c4f166f09db490277ebbb0e69af5b.jpg,acne-blackheads,.jpg
blackhead-13-_JPG_jpg.rf.34ddfadc3fe0118b6e7d2f11ca1a0628.jpg,acne-blackheads,.jpg
blackhead-13-_JPG_jpg.rf.69784441b9d30d1fff21aafa148007ee.jpg,acne-blackheads,.jpg
blackhead-13-_JPG_jpg.rf.76a0df471fa64113a368413b7a55b014.jpg,acne-blackheads,.jpg
blackhead-13-_JPG_jpg.rf.8f1ddcb7bbd3737465b47c0ad83cf759.jpg,acne-blackheads,.jpg
blackhead-13-_JPG_jpg.rf.8fd1c21d229f71670017e2aa1ecc41ff.jpg,acne-blackheads,.jpg
blackhead-13-_JPG_jpg.rf.ca85f439c167ced0e884cf04a3c0bf40.jpg,acne-blackheads,.jpg
blackhead-13-_JPG_jpg.rf.d162d5fe3d773f5875ccc6ebcdec1c2f.jpg,acne-blackheads,.jpg
blackhead-15-_jpg.rf.0ae1578dd432c0ffdbaaff799a498233.jpg,acne-blackheads,.jpg
blackhead-15-_jpg.rf.16bbe18f992949b62609fd1a2ce0d6fd.jpg,acne-blackheads,.jpg
