Label,Filename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
acne,belo acne pro.avif,0.62440073,0.9824351,0.17915988,0.7430744,0.9093721,0.6239352,0.6675067,0.7549691,0.43959355,0.3465016,0.5498135,0.2301439,0.52083373,0.6910987,0.047771573,0.25969875,0.9067967,0.57847583,0.22996604,0.5439367,0.6428971,0.8988397,0.60465324,0.21144187,0.99062777,0.6766002,0.22227633,0.18024647,0.49458814,0.26500142,0.3617152,0.6637651,0.94465005,0.8265585,0.05151224,0.52171016,0.7743112,0.61968017,0.93659115,0.89952564,0.63356817,0.9687991,0.18350506,0.76920533,0.10439181,0.7331053,0.606982,0.94428027,0.2364558,0.6427585,0.73561144,0.20764899,0.6145891,0.7331046,0.9415784,0.55799747,0.44540572,0.34426677,0.5591351,0.36119235,0.37459016,0.30546093,0.19136393,0.86474,0.34139955,0.97165024,0.72271657,0.7896756,0.81903934,0.6603632,0.80701137,0.32821488,0.57647145,0.44913483,0.41958642,0.88755107,0.9230616,0.17643583,0.37400556,0.78708446,0.69160473,0.37277687,0.558331,0.8097018,0.41052604,0.13255727,0.85573316,0.022400737,0.69724274,0.5934378,0.7641742,0.88940895,0.4031763,0.662241,0.6490848,0.082540035,0.19559479,0.75586593,0.1992048,0.99677503,0.14183569,0.49134982,0.24432302,0.2459755,0.1530509,0.62318826,0.08719754,0.4539975,0.09126985,0.5865673,0.18686879,0.327492,0.16709387,0.52855027,0.5449941,0.38483393,0.6035603,0.13275313,0.26990104,0.8840083,0.5878705,0.9815743,0.94290924,0.09881544,0.67823184,0.5347197,0.36444116,0.8943633
acne,belo.png,0.30377722,0.13020825,0.8677249,0.7983726,0.016697645,0.33075106,0.52581644,0.351722,0.6687567,0.051039815,0.3328786,0.06154704,0.42068732,0.18328524,0.98188806,0.77081335,0.006096959,0.1179775,0.040941954,0.91781497,0.85966146,0.6957638,0.01942575,0.0067942142,0.70915234,0.4737152,0.24653459,0.8920089,0.41960144,0.1404587,0.75592446,0.9557123,0.87835133,0.8792815,0.39177465,0.25570905,0.7871487,0.7649894,0.77791464,0.9231701,0.84682083,0.6034595,0.7950027,0.7467165,0.2515304,0.0003708601,0.63672745,0.67994964,0.99318635,0.23651826,0.33414018,0.44141746,0.5059546,0.18547559,0.68392897,0.08278608,0.45462537,0.22281897,0.37605846,0.96317744,0.80040157,0.4758916,0.9665426,0.48784745,0.6430793,0.4985156,0.38444698,0.6699703,0.70380414,0.827381,0.3327154,0.5820149,0.4423275,0.53210115,0.5418446,0.7448584,0.2985742,0.6040088,0.73590326,0.03766656,0.52033806,0.64807284,0.45446825,0.8805424,0.26376963,0.16156411,0.35795093,0.9023434,0.49607158,0.47852957,0.2065475,0.9500836,0.25340152,0.33453095,0.5612606,0.40748894,0.27506196,0.45484483,0.827086,0.3077196,0.5206953,0.33412778,0.39851928,0.8567296,0.2747991,0.18355322,0.08408427,0.9414239,0.5115285,0.21269298,0.03298521,0.19612765,0.010209799,0.7512388,0.50367,0.08487618,0.39140117,0.78604364,0.06914902,0.3543681,0.3317207,0.75779927,0.3516116,0.9137074,0.76696384,0.41401744,0.62102294,0.9428873
acne,defensil pimple.avif,0.6615734,0.0394336,0.8895694,0.6589081,0.007281184,0.19038975,0.36605167,0.7909516,0.39385772,0.583686,0.6875582,0.02099812,0.19324362,0.6408459,0.22886252,0.4795326,0.93231416,0.9997431,0.9521458,0.10724616,0.64099085,0.5192257,0.9063566,0.36101794,0.14035165,0.9853716,0.08527851,0.62105656,0.106003165,0.8117633,0.35740542,0.7186284,0.9922428,0.27130604,0.7532189,0.3269583,0.11793578,0.5818387,0.594905,0.6743163,0.85284925,0.10756302,0.50872254,0.044834137,0.32913268,0.4152795,0.9307995,0.2651137,0.82959116,0.22049582,0.6692343,0.27395964,0.16379118,0.84787416,0.03950751,0.5700339,0.4459139,0.49060893,0.3327248,0.42218137,0.7880118,0.3649819,0.0973587,0.6394675,0.96380806,0.76013494,0.82096386,0.9764166,0.6301104,0.027773619,0.17354107,0.9426267,0.38659668,0.27079105,0.15456235,0.22371781,0.30729067,0.015729666,0.6391462,0.44452715,0.40376222,0.2921419,0.5887817,0.90514624,0.49905634,0.71921825,0.83928645,0.36541843,0.32724738,0.31343317,0.8848872,0.39705038,0.9216347,0.5217625,0.24670744,0.50078654,0.07932913,0.73242044,0.823895,0.118833184,0.78906643,0.10354471,0.72650933,0.38833857,0.8392925,0.68299913,0.9371984,0.52392507,0.996806,0.732499,0.36617374,0.5533874,0.05907023,0.7469901,0.6261512,0.30187976,0.20576632,0.01222837,0.8345914,0.948388,0.8068931,0.01808703,0.18893051,0.43900645,0.4094671,0.22934842,0.31852412,0.012643456
acne,dr sensitive pimple.avif,0.35737383,0.2996664,0.7739295,0.8695247,0.30764925,0.02146411,0.7476455,0.57664096,0.43171012,0.505236,0.63280725,0.07585144,0.2480247,0.8455696,0.20848072,0.75971806,0.8527198,0.78411865,0.36352158,0.64955986,0.49838376,0.7612492,0.780668,0.29092407,0.34649897,0.9802493,0.3124901,0.021966696,0.12631774,0.4605068,0.97563434,0.028069854,0.4808694,0.81078327,0.56450665,0.02018106,0.13879478,0.1334821,0.9642662,0.5636648,0.6783731,0.7866957,0.41947448,0.94298995,0.48180354,0.8977312,0.19080865,0.15258086,0.89897275,0.8031951,0.45871317,0.8437078,0.9055779,0.53254104,0.9027873,0.24928308,0.699399,0.6466068,0.53898346,0.6858038,0.0004969835,0.19218874,0.599293,0.46352983,0.46988785,0.3809892,0.98474944,0.62335587,0.5950662,0.40748155,0.19080126,0.8028995,0.8476056,0.35622883,0.48489845,0.22316647,0.17648804,0.4484619,0.7622386,0.5580275,0.27914834,0.6555209,0.33822572,0.5799223,0.9523182,0.78325546,0.16888368,0.6718627,0.6050675,0.99955416,0.42082465,0.41855395,0.49385,0.515893,0.8704097,0.8913442,0.2371639,0.84087527,0.9659796,0.75874186,0.25804555,0.22327566,0.9061686,0.16655767,0.2545445,0.38866186,0.23580933,0.14181387,0.5967046,0.14308763,0.9430591,0.12747335,0.5766976,0.94468236,0.51240206,0.0052577257,0.49090302,0.094959736,0.57751894,0.46177375,0.7032045,0.18907285,0.05442846,0.13282847,0.018849611,0.013570547,0.8690474,0.21516597
acne,dr sensitive.avif,0.9269843,0.27576923,0.13242209,0.38995826,0.07706761,0.7031286,0.4255023,0.06698489,0.45245874,0.28298306,0.9864658,0.42637622,0.3372525,0.26516843,0.66048217,0.5327902,0.36512852,0.17357635,0.84875345,0.36058044,0.7534658,0.8219665,0.849916,0.1086359,0.76921284,0.0015810728,0.97520685,0.49654067,0.6749481,0.782614,0.6776836,0.8452835,0.97707653,0.3720206,0.13984108,0.98181033,0.8348416,0.57209027,0.08295977,0.87768483,0.73834527,0.8390913,0.06107557,0.83811545,0.5677644,0.303851,0.033602357,0.4543805,0.474553,0.25899196,0.27076244,0.6954715,0.6351644,0.0047712326,0.47729588,0.91220343,0.837842,0.78667104,0.11091137,0.69888675,0.9141648,0.5028068,0.25267482,0.17029798,0.5224972,0.3134899,0.46450448,0.18197322,0.78204155,0.91472816,0.62354255,0.36759746,0.056274414,0.1873728,0.119877815,0.40937912,0.8088738,0.6983082,0.3870703,0.69516325,0.0019199848,0.055813074,0.6739625,0.4168558,0.7013042,0.068790555,0.9778452,0.37723708,0.37543666,0.058487296,0.54456174,0.55662596,0.7160605,0.311571,0.87567925,0.70465326,0.5735259,0.7586669,0.83609545,0.4877441,0.5873755,0.44236553,0.15459418,0.9343202,0.9219303,0.0715431,0.88749933,0.30254972,0.5877466,0.28092873,0.080785275,0.117266774,0.092576504,0.0916065,0.40416837,0.42682183,0.9665252,0.92425215,0.14971936,0.44831455,0.795859,0.91549695,0.9209248,0.2744193,0.78377223,0.4455707,0.8112471,0.7506075
acne,eskinol.avif,0.8049474,0.40532422,0.44329643,0.19965518,0.05121076,0.65293705,0.35372722,0.6634978,0.9350991,0.2703284,0.07716584,0.87478006,0.7041857,0.8893616,0.21052122,0.055155277,0.17846513,0.8539001,0.96203744,0.18525112,0.46906006,0.76587784,0.8381934,0.2119236,0.18946481,0.13294375,0.22701335,0.5246451,0.037421107,0.85839283,0.6456493,0.2309668,0.25553787,0.61274815,0.38609087,0.32814634,0.012285113,0.33687234,0.54954314,0.59145844,0.019816995,0.9146906,0.38924623,0.66901064,0.72157633,0.28850782,0.7218404,0.3306949,0.16120839,0.3436606,0.037498474,0.97840333,0.26912212,0.83141017,0.25765002,0.379974,0.20849097,0.11579561,0.3673886,0.6216824,0.5944221,0.5325105,0.3368157,0.8164481,0.9485115,0.24970865,0.5883843,0.11426866,0.2455833,0.28372777,0.07721126,0.00030982494,0.25475335,0.32776356,0.72707343,0.56849754,0.96621287,0.6450372,0.9556203,0.7178644,0.04192424,0.5226294,0.48249495,0.13701105,0.014990568,0.06560004,0.5516467,0.33578968,0.1280675,0.7771355,0.5638753,0.81867135,0.2663684,0.8801782,0.5321593,0.7089528,0.92054915,0.4735453,0.9024384,0.6085143,0.5457238,0.4027673,0.51103544,0.39980102,0.96830785,0.4879141,0.121402144,0.5141549,0.23552239,0.27239203,0.8399217,0.84070826,0.9402946,0.8257085,0.54583037,0.60639966,0.5080899,0.53175974,0.6478802,0.60897267,0.81990516,0.48523903,0.25575638,0.94239235,0.105305076,0.41840518,0.042222023,0.27939188
acne,face republic.avif,0.4045534,0.6537018,0.048580408,0.86917686,0.15294766,0.015141368,0.27554953,0.65303993,0.50120234,0.47838855,0.9149871,0.09645581,0.42662477,0.7229103,0.042087197,0.18102384,0.71718,0.007957816,0.5843271,0.013827562,0.7280861,0.015825868,0.525123,0.104260325,0.5940696,0.20565867,0.6677376,0.37577856,0.025927424,0.14035475,0.0903126,0.38146305,0.2698151,0.8403305,0.6050358,0.6152636,0.42495513,0.473503,0.14991713,0.5102633,0.68731725,0.87677014,0.8121011,0.6933557,0.27235103,0.9929621,0.37806237,0.93041134,0.9589611,0.7871525,0.55132854,0.75049126,0.10306227,0.53672254,0.1044575,0.9231746,0.2781887,0.20570779,0.4650874,0.8923093,0.2076484,0.42708778,0.70889294,0.9691706,0.06801784,0.86503863,0.93282545,0.39476585,0.40028012,0.21437812,0.28423035,0.19138479,0.7029003,0.38080227,0.46346056,0.363572,0.2943958,0.76993144,0.6482526,0.65418243,0.72444856,0.6451024,0.59549725,0.10694873,0.72848535,0.8045968,0.4104861,0.99543166,0.80638003,0.5076463,0.9948765,0.27806652,0.7648876,0.9279474,0.3676225,0.25685298,0.06803918,0.04476273,0.7247007,0.018335223,0.74410224,0.8197551,0.2269342,0.54491794,0.20898354,0.5862546,0.9213921,0.22050238,0.19697559,0.04926014,0.9868759,0.31652474,0.48439384,0.19041097,0.29241204,0.021116853,0.31111348,0.9996847,0.416906,0.9112203,0.24492991,0.018692374,0.07680249,0.5662298,0.3710022,0.5047263,0.38477385,0.41647542
acne,garnier.webp,0.56482804,0.7765744,0.041968822,0.6861594,0.5501163,0.9870572,0.46558297,0.30368304,0.86049294,0.9231926,0.5322416,0.25235546,0.8705387,0.968626,0.23939884,0.97671616,0.5869225,0.27243817,0.83356416,0.50151765,0.5589092,0.58008456,0.5872328,0.73441494,0.89725006,0.31928527,0.80074847,0.2643926,0.39892173,0.51452386,0.08267379,0.21632588,0.94508994,0.2005626,0.86222756,0.34887207,0.8510586,0.71343637,0.23923075,0.39135492,0.53397334,0.69454217,0.8995781,0.697858,0.95551777,0.26826227,0.8974519,0.9081887,0.5555886,0.50703204,0.19569778,0.305681,0.849422,0.5173681,0.188447,0.07437551,0.20976877,0.78690696,0.6308483,0.89571416,0.71783197,0.9865593,0.25898528,0.24990869,0.033076406,0.43928874,0.24325311,0.16166365,0.21781242,0.65341353,0.104969025,0.38090432,0.07729077,0.67691314,0.69688606,0.8158786,0.029839873,0.64814234,0.044216275,0.8698329,0.17041075,0.22590363,0.4743991,0.68546164,0.42645872,0.33821487,0.0876652,0.9225768,0.7862501,0.12235367,0.55638874,0.8223847,0.4812839,0.36084902,0.76039124,0.9156623,0.7860434,0.5646378,0.56258464,0.6120974,0.9262396,0.7648026,0.41633594,0.9574927,0.82626534,0.8707458,0.7722752,0.45862377,0.79835045,0.9024718,0.62628496,0.9794904,0.14852858,0.43963587,0.15104127,0.34780598,0.7118896,0.1084497,0.87852335,0.6997235,0.4644643,0.6786988,0.056705475,0.41247833,0.29912722,0.111453176,0.43524504,0.31428206
pimples,master.avif,0.8570502,0.7113589,0.52566683,0.21362841,0.38652992,0.45941496,0.08017993,0.14691257,0.958966,0.5447198,0.33333158,0.7006229,0.45630598,0.6533874,0.9898552,0.84608734,0.42259407,0.7664064,0.44899762,0.5704193,0.6280371,0.55407774,0.35897934,0.3353877,0.009904146,0.9435879,0.053322792,0.5512018,0.24943888,0.49101782,0.55017126,0.40755165,0.34456027,0.2742988,0.119538665,0.030757785,0.83350515,0.3316058,0.45957673,0.91285956,0.39101493,0.73089266,0.40949297,0.3827827,0.2991184,0.41534412,0.5165466,0.5546987,0.69257,0.69450927,0.14534628,0.61065376,0.15784764,0.10719395,0.95768976,0.38162303,0.411013,0.47100866,0.6278188,0.59786165,0.8888835,0.11816275,0.37815845,0.79210293,0.9449601,0.12124157,0.080168486,0.5608344,0.9899572,0.1329143,0.69620764,0.26271534,0.957178,0.59561,0.06934178,0.42084754,0.5981139,0.4315729,0.7251893,0.16803145,0.22135758,0.7875794,0.35145247,0.7781179,0.17511618,0.42962945,0.85940564,0.007088661,0.8653883,0.69822025,0.45304883,0.5112612,0.8519831,0.6541189,0.20672107,0.03871119,0.16657019,0.96150935,0.57837224,0.5095022,0.8473799,0.18481553,0.7548121,0.4749874,0.288774,0.42182446,0.51986814,0.45074224,0.08342326,0.53582263,0.5011021,0.8992388,0.45782876,0.08513808,0.5194218,0.5507922,0.48805332,0.46719694,0.26728654,0.43662763,0.5600606,0.036539912,0.3926376,0.06648195,0.6285291,0.2668569,0.06384826,0.9439385
pimples,maxi.avif,0.42495573,0.13260949,0.51210713,0.19428146,0.8167721,0.22603917,0.5650203,0.4354695,0.03434527,0.0046844482,0.92064595,0.33325148,0.22028434,0.517378,0.22000492,0.37496912,0.17670012,0.8575821,0.29977298,0.19695783,0.78435946,0.33364308,0.19733751,0.47143984,0.7316108,0.23160315,0.932407,0.16894186,0.8902993,0.08018267,0.43375206,0.4423163,0.48241568,0.71920216,0.7142948,0.09184682,0.7519964,0.2516266,0.6849246,0.36082828,0.18585372,0.43619287,0.032903314,0.74650097,0.6584779,0.19248486,0.08550644,0.8525759,0.16450739,0.49617708,0.031564236,0.6047267,0.08658755,0.111964464,0.21238852,0.052360296,0.6944481,0.20872581,0.49451625,0.2122451,0.3861103,0.080346346,0.43998563,0.8961929,0.7203481,0.17546356,0.08288109,0.21347558,0.7782922,0.65934896,0.04253149,0.7708832,0.42425215,0.47444403,0.1954279,0.8932636,0.78334296,0.4896351,0.28718257,0.5800338,0.45955443,0.08758855,0.8975476,0.6438122,0.48823977,0.24692667,0.9122647,0.5212202,0.21505284,0.07594645,0.2475543,0.6496273,0.20946193,0.5323975,0.7568426,0.1315881,0.14231157,0.2754786,0.48726046,0.13623095,0.9267856,0.08953583,0.29337418,0.17735434,0.52804625,0.7720251,0.8115481,0.010918498,0.579514,0.02011621,0.10350132,0.45087636,0.7633078,0.55103326,0.8865266,0.47264135,0.8107079,0.82108057,0.50744104,0.21978867,0.341774,0.02638805,0.9848331,0.50103414,0.07756436,0.33833957,0.29313874,0.40558696
